Файл,Заголовок,Аннотация
article_4.txt,Automation from Scientific Papers,Abstract Academic poster generation is a crucial yet challenging task in scientific commu-
article_14.txt,with Graph Diffusion Networks,Abstract Agent-Based Models (ABMs) are powerful tools for studying emergent
article_28.txt,Dense Layer Decomposition with Mixture of Decoders,"Abstract Multilayer perceptrons (MLPs) are an integral part of large language models, yet"
article_178.txt,ArVoice: A Multi-Speaker Dataset for Arabic Speech Synthesis,"Abstract We introduce ArV oice, a multi-speaker Modern Standard Ara-"
article_150.txt,Efficient Reasoning,Abstract While reasoning-augmented large language
article_144.txt,Optimal Advantage Regression,Abstract Reinforcement learning (RL) has emerged as a powerful tool for fine-tuning large
article_193.txt,"Meng Cao1,2,∗Shuyuan Zhang1,2,∗",Abstract Reinforcement Learning from Human Feedback (RLHF) is a widely used technique for aligning
article_187.txt,Reconceptualizing Smart Microscopy: From Data,"Abstract Smart microscopy represents a paradigm shift in biological imaging, moving"
article_186.txt,CCL-LGS: Contrastive Codebook Learning for 3D Language Gaussian Splatting,Abstract Recent advances in 3D reconstruction techniques and
article_192.txt,"Arvindh Arun◦1, Sumit Kumar◦2, Mojtaba Nayyeri1, Bo Xiong3",Abstract Knowledge Graph Foundation Models
article_145.txt,in Continuous Space,"Abstract Humans ponder before articulating complex sentence elements, enabling deeper"
article_151.txt,TeroSeek: An AI -Powered Knowledge,Abstract Terpenoids  repre sent a pivotal class of natural products  that have garnered  sustained
article_179.txt,1,"Abstract— Rapid advancements in foundation models, including"
article_29.txt,Abstract,Abstract Despite the constant development of new bias mit-
article_15.txt,Mentor3AD: Feature Reconstruction-based 3D Anomaly Detection,Abstract —Multimodal feature reconstruction is a promising
article_5.txt,"OMER DAHARY, Tel Aviv University, Israel and Snap Research, Israel",
article_1.txt,Silence is Not Consensus:,Abstract Large language models (LLMs) have demonstrated strong potential in clinical
article_39.txt,Improving Transcriptomics Representations through Morphological Features,Abstract Understanding cellular responses to stimuli is
article_11.txt,Binh Duc Vu∗,Abstract We propose a principled method for autoencoding with random forests. Our strat-
article_155.txt,RoGA: Towards Generalizable Deepfake Detection,Abstract —Recent advancements in domain generalization for
article_141.txt,Leveraging Generative Factor Models of Observed Time Series,Abstract The field of hypothesis generation promises to re-
article_169.txt,and Scheduling,Abstract Generative image editing using diffusion models has become
article_196.txt,with Multimodal Large Language Models,Abstract Instruction-based image editing models offer increased
article_182.txt,Gradients in Federated Learning with Non-IID Data,Abstract The inevitable presence of data heterogeneity has made federated learning very
article_183.txt,Online Conversation Understanding,Abstract Understanding online conversations has attracted research at-
article_197.txt,A Benchmark and Specialized Model for Multimodal,"Abstract Manga, or Japanese comics, is a richly multimodal narrative form that blends"
article_168.txt,Compari sons between a Large Language Model -based Real -Time Compound,Abstract Objective  To develop an LLM  based realtime  compound diagnostic medical AI interface and
article_140.txt,A Multi-Dimensional Analysis from an Educational Perspective,Abstract Small Language Models (SLMs) offer com-
article_154.txt,"Chinese Cyberbullying Detection: Dataset, Method, and Validation",Abstract Existing cyberbullying detection benchmarks were
article_10.txt,VoxAging: Continuously Tracking Speaker Aging with a Large-Scale,Abstract The performance of speaker verification systems is ad-
article_38.txt,Beyond Chemical QA: Evaluating LLM’s Chemical,Abstract While large language models (LLMs) with Chain-of-Thought (CoT) reasoning
article_0.txt,How does Alignment Enhance LLMs’ Multilingual,Abstract Multilingual Alignment is an effective and representative paradigm to enhance
article_2.txt,Spatial Localization in Vision-Language Models,Abstract Vision-language models (VLMs) have demonstrated remarkable capabilities in
article_12.txt,Visual-Language-Action Model,Abstract Humans practice slow thinking before performing actual actions when handling
article_142.txt,Examining Text-to-Image Outputs and User Perceptions,Abstract Recent advances in generative AI have enabled visual con-
article_156.txt,Extracting and Structuring Financial Information,"Abstract We introduce FINTAGGING , the first full-scope, table-aware XBRL benchmark"
article_181.txt,InFact: Informativeness Alignment for Improved LLM Factuality,Abstract Factual completeness is a general term that
article_195.txt,are Instructable,"Abstract Motion forecasts of road users (i.e., agents) vary in complexity as a function of"
article_194.txt,Knowledge-Driven Synthetic Data Generation,Abstract Fine-tuning for large language models (LLMs)
article_180.txt,Nuanced Ableism,Abstract Large language models (LLMs) are increas-
article_157.txt,Voronoi-grid-based Pareto Front Learning and Its Application to Collaborative,Abstract Multi-objective optimization (MOO) exists exten-
article_143.txt,Classification,Abstract Semi-supervised classification based on active learning has made significant
article_13.txt,Policy Induction: Predicting Startup Success via Explainable,Abstract Early-stage startup investment is a high-risk en-
article_3.txt,Agents via Advertising Delivery,Abstract Vision-Language Model (VLM) based Web Agents represent a significant step
article_36.txt,MME-Reasoning,Abstract Logical reasoning is a fundamental aspect of human intelligence and an essential
article_22.txt,Foundational AI Literacy in Primary Education,Abstract. Younger generations are growing up in a world increasingly
article_166.txt,Published as a conference paper at ICLR 2025,"ABSTRACT Similar to other machine learning frameworks, Offline Reinforcement Learning"
article_172.txt,Collision- and Reachability-Aware Multi-Robot Control with,Abstract Large language models (LLMs) have demonstrated strong performance in various robot control
article_199.txt,Wandering Solution Explorers,Abstract Large Language Models (LLMs) have demonstrated impressive reasoning abilities
article_198.txt,Internal Answer Distribution?,"Abstract To reveal when a large language model (LLM) is uncertain about a response,"
article_173.txt,Large Vision-Language Models,Abstract Despite significant advancements in Large
article_167.txt,Mathematical Reasoning,"Abstract Nowadays, formal theorem provers have made monumental progress on high-"
article_23.txt,Investigation in Social Science,Abstract Recent advancements in large language mod-
article_37.txt,Assured Autonomy with Neuro-Symbolic Perception,"Abstract Many state-of-the-art AI models deployed in cyber-physical systems (CPS), while highly accu-"
article_21.txt,"Representation, Robustness, and Scaling",Abstract Factual incorrectness in generated content is one of the primary concerns in ubiqui-
article_35.txt,A Critical Re-evaluation of Table Union Search Benchmarks,Abstract Recent table representation learning and data
article_159.txt,"Haoyu Zhang1 2, Yisen Feng1, Qiaohui Chu1 2, Meng Liu3, Weili Guan1,","Abstract In this report, we present the method that achieves third"
article_171.txt,DNA Design via Constrained RL,Abstract Designing regulatory DNA sequences that achieve precise cell-type-specific gene
article_165.txt,SeqPO-SiMT: Sequential Policy Optimization for,Abstract We present Sequential Policy Optimization for
article_164.txt,Test-Time Learning for Large Language Models,Abstract While Large Language Models (LLMs) have ex-
article_170.txt,reinforcement learning,Abstract Sometimes we benefit from actions that others have taken even when we are
article_158.txt,Evaluating Training in Binarized Neural Networks,Abstract Understanding and controlling the informational complexity of neural networks
article_34.txt,Takuhiro Kaneko,"Abstract Recent advancements in neural 3D representations, such"
article_20.txt,Tabular Fact Retrieval from Large Language Models,Abstract Factuality in Large Language Models (LLMs) is a persistent challenge. Current
article_8.txt,LazyVLM: Neuro-Symbolic Approach to Video Analytics,ABSTRACT Current video analytics approaches face a fundamental trade-off
article_18.txt,Reference-Guided Tool Creation,Abstract Tools enhance the reasoning capabilities of large language models (LLMs) in com-
article_24.txt,Selection in Conversational Contextual Bandits,Abstract Conversational recommender systems proactively query users with
article_30.txt,Qishuai Zhong1Zongmin Li1Siqi Fan2Aixin Sun1,Abstract Effective engagement by large language mod-
article_174.txt,2025-5-28,
article_160.txt,Can Past Experience Accelerate LLM Reasoning?,Abstract Allocating more compute to large language models (LLMs) reasoning has generally been demon-
article_148.txt,Tool Learning,Abstract Complex tasks involving tool integration pose sig-
article_149.txt,Continuous-Time Attention: PDE-Guided Mechanisms for Long-Sequence,"Abstract We propose a novel framework, Continuous-"
article_161.txt,Learning with Large Language Models,"Abstract Personalized programming tutoring, such as exer-"
article_175.txt,Pareto in Large Reasoning Models,Abstract Large reasoning models (LRMs) have exhibited the capacity of enhancing reason-
article_31.txt,Prostate Cancer Screening with Artificial Intelligence–Enhanced,Abstract Background and objective: Micro-ultrasound (micro-US) is a novel ultrasound modality with diagnostic accu-
article_25.txt,Learning with Arbitrary Features,Abstract Linear TD( λ) is one of the most fundamental reinforcement learning algorithms
article_19.txt,Shashank Sharma,Abstract Hierarchical reinforcement learning (HRL) relies on abstract skills to solve long-
article_9.txt,ACTIVE -O3 : Empowering Multimodal Large,"Abstract Active vision, also known as active perception, refers to the process of actively"
article_33.txt,Henryk Mustroph Michel Kunkler Stefanie Rinderle-Ma,Abstract Suffix prediction of business processes forecasts the remaining sequence of events until process
article_27.txt,Search Space Partitioning,Abstract Large Language Models (LLMs) have recently emerged as effective surrogate
article_163.txt,Speaker Extraction,Abstract Audio-visual speaker extraction isolates a target speaker’s
article_177.txt,Electrolyzers-HSI: Close-Range Multi-Scene Hyperspectral Imaging Benchmark,Abstract The global challenge of sustainable recycling demands
article_188.txt,Recognition,"Abstract With approximately 7,000 languages spoken worldwide,"
article_189.txt,Under Adversarial Influence,Abstract Understanding how adversarial conditions affect language models requires tech-
article_176.txt,Collaboration with Emotional Reasoning and,"Abstract This paper presents Project Riley, a novel multimodal and multi-"
article_162.txt,2025 19th International Conference on Automatic Face and Gesture Recognition (FG),Abstract — Understanding how facial affect analysis (FAA)
article_26.txt,Networks,"Abstract Web 2.0 social platforms are inherently centralized, with user data and algorithmic"
article_32.txt,Global AI Safety,"Abstract Despite advances in large language model capabilities in recent years, a large gap remains in their"
article_96.txt,"Yiyuan Yang, Shitong Xu, Niki Trigoni, Andrew Markham",Abstract Sound source localization (SSL) is a critical technology for deter-
article_82.txt,Educational Feedback Systems,Abstract I present a categorical framework for analyzing fixed-point emergence
article_55.txt,Gleb Mezentsev,Abstract A recent study showed that large language
article_41.txt,Emanuele La Malfa1∗Gabriele La Malfa2∗Samuele Marro3,Abstract Recent interest in Multi-Agent Systems of Large Language Models (MAS LLMs)
article_69.txt,Interpreting Social Bias in LVLMs via Information Flow Analysis and,Abstract Large Vision Language Models (LVLMs) have
article_139.txt,Frequency-embedded 3D Gaussian Splatting,Abstract This paper presents an innovative frequency-embedded 3D Gaussian splatting
article_105.txt,in Large Vision Language Models,Abstract As large vision language models(LVLMs)
article_111.txt,Generalizable Heuristic Generation Through Large,Abstract Heuristic design with large language models (LLMs) has emerged as a promising
article_110.txt,of Large Language Models,"Abstract In this paper, we present EasyDistill , a compre-"
article_104.txt,Rahul Nair,"Abstract Humble AI (Knowles et al., 2023) argues for cautiousness in AI"
article_138.txt,with Self-Improving Visual-Language Models,Abstract — We introduce a novel self-improving framework
article_68.txt,A LIGHTWEIGHT MULTI-EXPERT GENERATIVE LANGUAGE MODEL SYSTEM FOR ENGINEERING INFORMATION,ABSTRACT Despite recent advancements in domain adaptation tech-
article_40.txt,Exploring Subordinate Categories in Italian,Abstract People can categorize the same entity at mul-
article_54.txt,Sequential Chest X-ray Interpretation,Abstract Radiology reports convey detailed clinical observations and capture diagnostic
article_83.txt,RainFusion: Adaptive Video Generation Acceleration via Multi-Dimensional,Abstract Video generation using diffusion models is highly compu-
article_97.txt,Hybrid Disagreement-Diversity Active Learning for,Abstract —Bioacoustic sound event detection (BioSED) is cru-
article_81.txt,FCKT: Fine-Grained Cross-Task Knowledge Transfer with Semantic Contrastive,"Abstract In this paper, we address the task of targeted senti-"
article_95.txt,Newspaper Comments,Abstract. Theincreasingvolumeofonlinediscussionsrequiresadvanced
article_42.txt,1,"Abstract In this paper, we present a novel diagnostic framework that integrates Knowledge Graphs (KGs) and"
article_56.txt,PoisonSwarm: Universal Harmful Information,"Abstract. To construct responsible and secure AI applications, harmful"
article_112.txt,Trans-EnV: A Framework for Evaluating the,Abstract Large Language Models (LLMs) are predominantly evaluated on Standard Amer-
article_106.txt,Dreamer for Vision-and-Language Navigation,Abstract Vision-and-Language Navigation (VLN) requires the agent to navigate by fol-
article_107.txt,Yiwei Wu1Atticus Geiger1Rapha ¨el Milli `ere2,Abstract Variable binding—the ability to associate vari-
article_113.txt,Antony Zhao Alex Proshkin Fergal Hennessy Francesco Crivelli,Abstract Large transformer models have been shown to be capable of performing in-context learning. By using
article_57.txt,Imitation from Expert and Undesirable,Abstract Offline imitation learning typically learns from expert and unlabeled demonstra-
article_43.txt,"Farshad Noravesh1, Reza Haﬀari2, Layki Soon3, Arghya Pal4",Abstract. Graph Neural Networks (GNNs) have emerged as a power-
article_94.txt,with Knowledge Graphs for KGQA,Abstract LLMs have demonstrated remarkable capabili-
article_80.txt,Large Language Model-enhanced Reinforcement,Abstract —Low-Altitude Economic Networking (LAENet) aims
article_84.txt,space to input space using conditional diffusion models,"Abstract Internal representations are crucial for understanding deep neural networks, such"
article_90.txt,Jie Shao Jianxin Wu∗,"Abstract Despite the impressive performance of large language models (LLMs), the pro-"
article_47.txt,"†Department of Computer Science, University of Copenhagen",Abstract Pixel language models operate directly on im-
article_53.txt,"1IRIT, University of Toulouse, France",Abstract A classifier is considered interpretable if each of its
article_117.txt,An LLM-as-Judge Metric for Bridging the Gap with Human,"In this paper, we present SWE-Judge , the first evaluation metric for LLM-as-Ensemble-Judge specifically"
article_103.txt,Optimizing Cost and Accuracy in Large Language Models,Abstract LLM providers typically offer multiple LLM
article_102.txt,Revisiting Multi-Agent World Modeling from a,Abstract World models have recently attracted growing interest in Multi-Agent Reinforce-
article_116.txt,Respond to Change with Constancy:,Abstract —Encrypted traffic classification is highly challenging
article_52.txt,Roi Cohen,"Abstract Large Language Models are known to capture real-world knowledge, allowing"
article_46.txt,Expanding Strategy Space,"Abstract Large Language Models (LLMs), despite ad-"
article_91.txt,Plagiarism Detection,"ABSTRACT We propose MelodySim , a melody-aware music simi-"
article_85.txt,Attacks on Tabular Data,Abstract Adversarial attacks pose a significant threat to machine learning models by inducing in-
article_93.txt,FRAMEWORK FOR COMBINATORIAL OPTIMIZATION ON GRAPHS,"ABSTRACT Along with AI computing shining in scientific discovery, its potential in the combinatorial opti-"
article_87.txt,Text-Queried Audio Source Separation via,Abstract —Target audio source separation with natural lan-
article_78.txt,Interface Generation,Abstract Large language model (LLM) agents have shown impressive rea soning capabil-
article_50.txt,Anomaly Detection?,Abstract. Medical anomaly detection has emerged as a promising so-
article_44.txt,RLJP: Legal Judgment Prediction via First-Order Logic Rule-enhanced,Abstract Legal Judgment Prediction (LJP) is a pivotal
article_100.txt,"May 28, 2025",ABSTRACT Context. RR Lyrae stars (RRLs) are old population pulsating variables that serve as useful metallicity tracers due to the correlation
article_114.txt,Solving,Abstract Large Language Models (LLMs) have demon-
article_128.txt,Part-Level Visual Understanding,"Abstract Real-world objects are composed of distinctive, object-specific parts. Identifying"
article_129.txt,Reasoning with Large Multimodal Models,Abstract Large Multimodal Models (LMMs) have recently demonstrated remarkable visual
article_115.txt,Style Direction Adjustment for Expressive Text-to-Speech,Abstract Recent advances in expressive text-to-speech (TTS) have in-
article_101.txt,with Hierarchical Experts,Abstract Aligning large language models (LLMs) to simultaneously satisfy multiple ob-
article_45.txt,Device-Control Agents through Trajectory Tree,Abstract Recent advancements in vision-language models (VLMs) have spurred increased
article_51.txt,Federated Learning via Dynamic Client Selection,"Abstract In cross-silo Federated Learning (FL), client selection is critical to ensure high"
article_79.txt,A domain adaptation neural network for digital,Abstract —Digital twins offer a promising solution to the lack
article_86.txt,Multi-Mode Process Control Using Multi-Task,"Abstract —In the era of Industry 4.0 and smart manufacturing,"
article_92.txt,Using Theory-of-Mind and Multi-Agent Architectures for Requirements Refinement,"Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires"
